recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
0,Apple-Cranberry Crostada,,,,8,6 to 8 - servings,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, ½ cup sugar, ½ cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1  egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream","Heat butter in a large skillet over medium-high heat. Add apples, 1/2 cup sugar and cranberries; cover and cook until apples release their liquid, about 5 minutes. Remove lid and continue to cook, stirring frequently, until soft apples fall apart and juices thicken to a thin-syrup consistency, about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.)
Adjust oven rack to low position and heat oven to 400 degrees. Open puff pastry sheet on a lightly floured work surface. Roll into a rectangle, about 10 by 16 inches. Transfer to a large cookie sheet. (I suggest lining the sheet with parchment paper; this ensures the crostada doesn't stick and allows easy cleanup.)
Spread cooked apples over pastry, leaving a 2-inch border. Fold up pastry borders over apples. Unfold corners and form ruffled creases to keep dough from overlapping. Brush pastry border with egg white and sprinkle with the remaining 1 Tb. sugar. Bake until pastry is golden brown, 25 to 30 minutes. Serve warm or at room temperature with optional ice cream or whipped cream.",4.4,https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 18g 23%, Saturated Fat 7g 34%, Cholesterol 19mg 6%, Sodium 128mg 6%, Total Carbohydrate 60g 22%, Dietary Fiber 5g 16%, Total Sugars 40g, Protein 4g, Vitamin C 8mg 42%, Calcium 35mg 3%, Iron 1mg 6%, Potassium 245mg 5%","Servings: 8, Yield: 6 to 8 - servings",https://www.allrecipes.com/thmb/Tf1wH73bfH6OqlfQySSDtMaP-nw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/517708-5f57072dedb04a389edab3e141517d4d.jpg
1,Apple Pie by Grandma Ople,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed","Peel and core apples, then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant, about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust, forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples, using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so they're almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips, then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary, and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust, making sure it seeps over sliced apples. Brush some onto lattice, but make sure it doesn't run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft, 35 to 45 minutes.











Natalie T
",4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
3,Apple Crisp,30 mins,45 mins,1 hrs 15 mins,12,1 9x13-inch pan,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, ½ cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, ¼ teaspoon baking powder, ¼ teaspoon baking soda, ½ cup butter, melted","Preheat the oven to 350 degrees F (175 degrees C).
Place sliced apples in a 9x13-inch baking dish. Mix white sugar, 1 tablespoon flour, and cinnamon together; sprinkle over apples. Pour water evenly over apples.
Combine oats, 1 cup flour, brown sugar, baking powder, and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture.
Bake in the preheated oven until top is golden brown and apples are bubbling around the edges, about 45 minutes.











Dotdash Meredith Food Studios
",4.7,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 8g 11%, Saturated Fat 5g 25%, Cholesterol 20mg 7%, Sodium 98mg 4%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 44g, Protein 2g, Vitamin C 4mg 21%, Calcium 36mg 3%, Iron 1mg 6%, Potassium 162mg 3%","Prep Time: 30 mins, Cook Time: 45 mins, Total Time: 1 hrs 15 mins, Servings: 12, Yield: 1 9x13-inch pan",https://www.allrecipes.com/thmb/uAzhPOh86PfR-NIT1_dQ5c9bhag=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12409-apple-crisp-MFS-027-c2f142105db44206856af57c388db3ee.jpg
4,Apple Pie Filling,20 mins,20 mins,2 hrs 40 mins,40,5 9-inch pies,"18 cups thinly sliced apples, 3 tablespoons lemon juice, 10 cups water, 4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, 1 teaspoon salt, ¼ teaspoon ground nutmeg","Toss apples with lemon juice in a large bowl and set aside.
Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt, and nutmeg in a bowl; add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly.
Add apples and return to a boil. Reduce heat, cover, and simmer until apples are tender, 6 to 8 minutes. Cool for 30 minutes.
Ladle into 5 freezer containers, leaving 1/2 inch of headspace. Cool at room temperature no longer than 1 1/2 hours.
Seal and freeze. Can be stored for up to 12 months.











Dotdash Meredith Food Studios
",4.7,https://www.allrecipes.com/recipe/12681/apple-pie-filling/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 0g 0%, Sodium 61mg 3%, Total Carbohydrate 33g 12%, Dietary Fiber 1g 5%, Total Sugars 28g, Protein 0g, Vitamin C 3mg 16%, Calcium 7mg 1%, Iron 0mg 1%, Potassium 63mg 1%","Prep Time: 20 mins, Cook Time: 20 mins, Additional Time: 2 hrs, Total Time: 2 hrs 40 mins, Servings: 40, Yield: 5 9-inch pies",https://www.allrecipes.com/thmb/c0bbYaS1V_mTt_fb85yo0gPcYUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12681-apple-pie-filling-beauty-1x1-BP-2876-ed43a184f9564f4a8dc893c4ae8d561f.jpg
5,Easy Apple Crisp with Oat Topping,20 mins,40 mins,1 hrs,4,,"6  apples - peeled, cored, and sliced, 2 tablespoons white sugar, 1 ½ teaspoons ground cinnamon, divided, 1 cup brown sugar, ¾ cup old-fashioned oats, ¾ cup all-purpose flour, ½ cup cold butter","Preheat the oven to 350 degrees F (175 degrees C).
Toss apples with white sugar and 1/2 teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish.
Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; spread over apples and pat down gently until even.
Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes.









",4.7,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 25g 32%, Saturated Fat 15g 74%, Cholesterol 61mg 20%, Sodium 177mg 8%, Total Carbohydrate 99g 36%, Dietary Fiber 8g 27%, Total Sugars 63g, Protein 5g, Vitamin C 10mg 48%, Calcium 69mg 5%, Iron 2mg 13%, Potassium 360mg 8%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 4",https://www.allrecipes.com/thmb/1tKFVcDXwp8Y_zGAzOoowGVomOk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Apple-Crisp-with-Oat-Topping-70ef9793a177482285f8ed377e692062.jpg
7,Apple-Cranberry Crisp,25 mins,40 mins,1 hrs 5 mins,8,1 8-inch crisp,"2 pounds Granny Smith apples - peeled, cored and thinly sliced, ¾ cup cranberries, ¼ cup white sugar, 1 tablespoon ground cinnamon, 1 teaspoon ground nutmeg","Preheat the oven to 375 degrees F (190 degrees C.) Butter an 8-inch square baking dish.
Mix apples, cranberries, white sugar, cinnamon, and nutmeg in a large bowl. Place in an even layer in the prepared baking dish.
In the same bowl, combine oats, flour, and brown sugar for topping. Add butter pieces and mix with a fork until crumbly. Stir in pecans. Sprinkle topping over apples in the baking dish.
Bake in the preheated oven until apples are tender and topping is golden brown, 40 to 50 minutes.",4.6,https://www.allrecipes.com/recipe/41893/apple-cranberry-crisp/,/Desserts/Crisps and Crumbles Recipes/,"Total Fat 12g 15%, Saturated Fat 4g 22%, Cholesterol 15mg 5%, Sodium 47mg 2%, Total Carbohydrate 43g 16%, Dietary Fiber 4g 16%, Total Sugars 32g, Protein 2g, Vitamin C 7mg 36%, Calcium 37mg 3%, Iron 1mg 6%, Potassium 207mg 4%","Prep Time: 25 mins, Cook Time: 40 mins, Total Time: 1 hrs 5 mins, Servings: 8, Yield: 1 8-inch crisp",https://www.allrecipes.com/thmb/MjDDFmBWiEx9f1kpSieyThF1KnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/525977-d5f45adf863d41fba1a1071febfc00ad.jpg
8,Old-Fashioned Apple Dumplings,30 mins,1 hrs,1 hrs 30 mins,6,,"1 recipe pastry for double-crust pie, 6 large Granny Smith apples, peeled and cored, ½ cup butter, ¾ cup brown sugar, 1 teaspoon ground cinnamon, ½ teaspoon ground nutmeg, 3 cups water, 2 cups white sugar, 1 teaspoon vanilla extract","Preheat the oven to 400 degrees F (200 degrees C). Butter a 9x13-inch pan.
Roll pastry into a 24x16-inch rectangle on a lightly floured surface. Cut into six 8-inch squares. Place an apple on each pastry square with the cored opening facing upward. Cut butter into 8 pieces; place 1 piece in the opening of each apple; reserve the remaining butter for sauce.
Divide brown sugar between apples, poking some inside each cored opening and the rest around the base of each apple. Sprinkle cinnamon and nutmeg over apples.
Using slightly wet fingertips, bring one corner of the pastry square up to the top of the apple, then bring the opposite corner to the top and press together. Bring up the two remaining corners, and seal. Slightly pinch the dough at the sides to completely seal in the apple. Repeat with the remaining apples and place in the prepared baking dish.
Combine water, white sugar, vanilla extract, and reserved butter in a large saucepan. Place over medium heat, and bring to a boil. Reduce the heat to low and simmer until sugar is dissolved, about 5 minutes. Carefully pour the sauce over the dumplings.
Bake in the preheated oven for 50 to 60 minutes. Place each apple dumpling in a dessert bowl, and spoon some of the sauce over the top.",4.7,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 35g 45%, Saturated Fat 15g 74%, Cholesterol 41mg 14%, Sodium 434mg 19%, Total Carbohydrate 148g 54%, Dietary Fiber 7g 23%, Total Sugars 115g, Protein 5g, Vitamin C 11mg 53%, Calcium 52mg 4%, Iron 2mg 13%, Potassium 319mg 7%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 6",https://www.allrecipes.com/thmb/fBK5I_LpF7CXGzZUJfHTtRnhCac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9411399-215b5cd7d43e451baeadd6ce77e36c6e.jpg
10,Apple Turnovers,30 mins,25 mins,55 mins,8,8 turnovers,"2 tablespoons lemon juice, 4 cups water, 4  Granny Smith apples - peeled, cored and sliced, 2 tablespoons butter, 1 cup brown sugar, 1 teaspoon ground cinnamon, 1 tablespoon cornstarch, 1 tablespoon water, 1 (17.25 ounce) package frozen puff pastry sheets, thawed, 1 cup confectioners' sugar, 1 tablespoon milk, 1 teaspoon vanilla extract","Combine the lemon and 4 cups water in a large bowl. Place the sliced apples in the water to keep them from browning.
Melt butter in a large skillet over medium heat. Drain water from apples, and place them into the hot skillet. Cook and stir for about 2 minutes. Add brown sugar, and cinnamon, and cook, stirring, for 2 more minutes. Stir together cornstarch and 1 tablespoon water. Pour into the skillet, and mix well. Cook for another minute, or until sauce has thickened. Remove from heat to cool slightly.
Preheat the oven to 400 degrees F (200 degrees C).
Unfold puff pastry sheets, and repair any cracks by pressing them back together. Trim each sheet into a square. Then cut each larger square into 4 smaller squares. Spoon apples onto the center of each squares. Fold over from corner to corner into a triangle shape, and press edges together to seal. Place turnovers on a baking sheet, leaving about 1 inch between them.
Bake for 25 minutes in the preheated oven, until turnovers are puffed and lightly browned. Cool completely before glazing.
To make the glaze, mix together the confectioners' sugar, milk and vanilla in a small bowl. Adjust the thickness by adding more sugar or milk if necessary. Drizzle glaze over the cooled turnovers.











Dotdash Meredith Food Studios
",4.6,https://www.allrecipes.com/recipe/59124/apple-turnovers/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 26g 33%, Saturated Fat 8g 39%, Cholesterol 8mg 3%, Sodium 184mg 8%, Total Carbohydrate 80g 29%, Dietary Fiber 2g 9%, Total Sugars 50g, Protein 5g, Vitamin C 5mg 26%, Calcium 42mg 3%, Iron 2mg 11%, Potassium 161mg 3%","Prep Time: 30 mins, Cook Time: 25 mins, Total Time: 55 mins, Servings: 8, Yield: 8 turnovers",https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg
11,Apple Crisp - Perfect and Easy,20 mins,40 mins,1 hrs,6,1 8-inch square dish,"2 ½ cups apples - peeled, cored, and sliced, 1 cup sifted all-purpose flour, 1 cup white sugar, ½ teaspoon ground cinnamon, ¼ teaspoon salt, ½ cup butter, softened","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 8-inch square baking dish.
Arrange apple slices evenly in the prepared baking dish. Sift flour, sugar, cinnamon, and salt into a bowl. Cut in butter using a pastry blender, or 2 knives, until mixture resembles coarse cornmeal; sprinkle over apples.
Bake in the preheated oven until topping is golden, 40 to 45 minutes. Cool slightly before serving.











naples34102
",4.7,https://www.allrecipes.com/recipe/229274/apple-crisp-perfect-and-easy/,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 16g 20%, Saturated Fat 10g 49%, Cholesterol 41mg 14%, Sodium 207mg 9%, Total Carbohydrate 56g 20%, Dietary Fiber 2g 6%, Total Sugars 38g, Protein 2g, Vitamin C 2mg 11%, Calcium 13mg 1%, Iron 1mg 6%, Potassium 77mg 2%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 6, Yield: 1 8-inch square dish",https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg
12,The Best Caramel Apples,15 mins,30 mins,2 hrs 15 mins,8,,"8 large tart apples, 8  wooden chopsticks for handles, 2 cups packed brown sugar, 1 (14 ounce) can sweetened condensed milk, 1 cup light corn syrup, 1 cup butter, 2 teaspoons vanilla extract","Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds, using a slotted spoon, then dry with paper towels to remove any wax from the peels. Set apples aside to cool completely, about 30 minutes.
Insert sticks into the bottom of each cooled apple through the core for a handle.
Line a baking sheet with parchment paper.
Stir brown sugar, sweetened condensed milk, corn syrup, and butter together in a saucepan over medium-high heat. Bring to a boil, stirring constantly, then reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C), stirring constantly to prevent burning, about 25 to 30 minutes. A teaspoon of caramel dropped in a glass of cold water, should form a firm ball. Remove caramel from heat and stir in vanilla extract.
Working quickly, dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. Sprinkle apples with any desired toppings while still hot. Let caramel apples cool on the prepared baking sheet, about 1 hour. Use caution, caramel is very hot.",4.5,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,/Desserts/Specialty Dessert Recipes/Caramel Apple Recipes/,"Total Fat 28g 35%, Saturated Fat 17g 87%, Cholesterol 78mg 26%, Sodium 269mg 12%, Total Carbohydrate 142g 51%, Dietary Fiber 5g 18%, Total Sugars 113g, Protein 5g, Vitamin C 11mg 55%, Calcium 210mg 16%, Iron 1mg 4%, Potassium 491mg 10%","Prep Time: 15 mins, Cook Time: 30 mins, Additional Time: 1 hrs 30 mins, Total Time: 2 hrs 15 mins, Servings: 8",https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg
