recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
Apple Pie by Grandma Ople,30 mins,1 hrs,1 hrs 30 mins,8,1 9-inch pie,"8 small Granny Smith apples, or as needed, ½ cup unsalted butter, 3 tablespoons all-purpose flour, ½ cup white sugar, ½ cup packed brown sugar, ¼ cup water, 1 (9 inch) double-crust pie pastry, thawed","Peel and core apples, then thinly slice. Set aside.
Preheat the oven to 425 degrees F (220 degrees C).
Melt butter in a saucepan over medium heat. Add flour and stir to form a paste; cook until fragrant, about 1 to 2 minutes. Add both sugars and water; bring to a boil. Reduce the heat to low and simmer for 3 to 5 minutes. Remove from the heat.
Press one pastry into the bottom and up the sides of a 9-inch pie pan. Roll out remaining pastry so it will overhang the pie by about 1/2 inch. Cut pastry into eight 1-inch strips.
Place sliced apples into the bottom crust, forming a slight mound. Lay four pastry strips vertically and evenly spaced over apples, using longer strips in the center and shorter strips at the edges.
Make a lattice crust: Fold the first and third strips all the way back so they're almost falling off the pie. Lay one of the unused strips perpendicularly over the second and fourth strips, then unfold the first and third strips back into their original position.
Fold the second and fourth vertical strips back. Lay one of the three unused strips perpendicularly over top. Unfold the second and fourth strips back into their original position.
Repeat Steps 6 and 7 to weave in the last two strips of pastry. Fold and trim excess dough at the edges as necessary, and pinch to secure.
Slowly and gently pour sugar-butter mixture over lattice crust, making sure it seeps over sliced apples. Brush some onto lattice, but make sure it doesn't run off the sides.
Bake in the preheated oven for 15 minutes. Reduce the temperature to 350 degrees F (175 degrees C) and continue baking until apples are soft, 35 to 45 minutes.











Natalie T
",4.8,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 19g 24%, Saturated Fat 9g 46%, Cholesterol 31mg 10%, Sodium 124mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 10%, Protein 2g, Vitamin C 5mg 27%, Calcium 23mg 2%, Iron 1mg 6%, Potassium 156mg 3%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/1I95oiTGz6aEpuHd2DAr33w7Mgg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12682-apple-pie-by-grandma-ople-natasha-titanov-1x1-1-7f1cd9f631d24ff0b90cac0163247686.jpg
Easy Apple Pie,20 mins,40 mins,1 hrs,8,1 9-inch pie,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie, ¾ cup white sugar, or more to taste, 1 teaspoon ground cinnamon, 6 cups thinly sliced apples, 1 tablespoon butter","Preheat the oven to 450 degrees F (230 degrees C).
Line a 9-inch pie dish with one pastry crust; set second one aside.
Combine 3/4 cup sugar and cinnamon in a small bowl. Add more sugar if your apples are tart.
Layer apple slices in the prepared pie dish, sprinkling each layer with cinnamon-sugar mixture. Dot top layer with small pieces of butter. Cover with top crust.
Bake pie on the lowest rack of the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until golden brown and filling bubbles, 30 to 35 minutes more. Serve warm or cold.











dotdash meredith food studios
",4.6,https://www.allrecipes.com/recipe/12324/apple-pie-i/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 9g 12%, Saturated Fat 3g 14%, Cholesterol 4mg 1%, Sodium 128mg 6%, Total Carbohydrate 42g 15%, Dietary Fiber 3g 11%, Total Sugars 29g, Protein 2g, Vitamin C 4mg 22%, Calcium 11mg 1%, Iron 1mg 4%, Potassium 117mg 2%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg
Apple Crumb Pie,30 mins,50 mins,1 hrs 20 mins,8,1 9-inch pie,"6 cups thinly sliced apples, 1 tablespoon lemon juice (Optional), ¾ cup white sugar, 2 tablespoons all-purpose flour, ½ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, ½ cup raisins (Optional), ½ cup chopped walnuts (Optional), 1 (9 inch) pie shell, ½ cup all-purpose flour, ½ cup packed brown sugar, 3 tablespoons butter","Preheat the oven to 375 degrees F (190 degrees C).
Place sliced apples in a large bowl; sprinkle with lemon juice. Mix white sugar, 2 tablespoons flour, cinnamon, and nutmeg together in a small bowl; sprinkle mixture over apples and toss until evenly coated. Stir in raisins and walnuts; transfer mixture into pie shell.
Mix 1/2 cup flour and brown sugar together in a small bowl. Blend in butter with a fork until mixture is crumbly; sprinkle over apple filling. Cover top of pie loosely with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until top is golden brown and filling is bubbly, about 25 to 30 minutes more. Cool on a wire rack before serving.",4.7,https://www.allrecipes.com/recipe/15587/apple-crumb-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 4g 20%, Cholesterol 11mg 4%, Sodium 139mg 6%, Total Carbohydrate 70g 25%, Dietary Fiber 4g 13%, Total Sugars 49g, Protein 4g, Vitamin C 6mg 28%, Calcium 37mg 3%, Iron 1mg 8%, Potassium 261mg 6%","Prep Time: 30 mins, Cook Time: 50 mins, Total Time: 1 hrs 20 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg
Apple Hand Pies,25 mins,35 mins,1 hrs 15 mins,4,4 hand pies,"2 tablespoons butter, 2 large green apples - peeled, cored, and cut into chunks, 2 tablespoons brown sugar, ¼ cup white sugar, ¼ teaspoon salt, 1 ½ teaspoons ground cinnamon, or to taste, 1 teaspoon water, or more if needed (Optional), 1 pound prepared pie dough, cut into 4 pieces, 1 egg, 2 teaspoons milk, 1 teaspoon white sugar, or as needed","Melt butter in a large skillet over medium heat; let butter brown to a light golden color and smell toasted, about 1 minute. Stir apples into hot butter; sprinkle with 1/4 cup white sugar, brown sugar, and salt. Cook and stir apple mixture until apples are softened, about 5 minutes. Mix in cinnamon and water; continue cooking until apples are soft and sticky, 1 to 2 more minutes. Spread apple filling onto a plate to cool.
Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with a silicone mat or parchment paper.
Form a dough piece into a ball, place on a floured work surface, and roll into a circle about 8 inches in diameter. Spoon 1/3 to 1/2 cup apple filling in the center. Fold dough over filling, leaving about 1 inch of dough on the bottom side visible below the top side. Gently press dough closed around filling, using your fingertips.
Fold the overhanging bottom part of dough up over the top edge, working your way around the crust, and pinch the overhang tightly to the top part of the crust.
Crimp the edge tightly closed, pinching a little bit of dough with the thumb and forefinger of one hand and using your index finger on the other hand to push a small notch into the pinched dough. Continue pinching and notching all the way around until crust is tightly crimped together. Repeat with remaining dough and filling. Transfer pies onto prepared baking sheet.
Whisk egg with milk in a small bowl until thoroughly combined. Brush top of each hand pie with egg mixture and sprinkle with about 1/4 teaspoon white sugar. Cut 3 small vent holes in the top of each pie.
Bake in the preheated oven until pies are golden brown and filling is bubbling, 25 to 30 minutes. Let cool for at least 15 minutes before serving.











Dotdash Meredith Food Studios
",4.7,https://www.allrecipes.com/recipe/234374/apple-hand-pies/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 42g 54%, Saturated Fat 13g 64%, Cholesterol 62mg 21%, Sodium 754mg 33%, Total Carbohydrate 82g 30%, Dietary Fiber 6g 23%, Total Sugars 31g, Protein 9g, Vitamin C 5mg 27%, Calcium 38mg 3%, Iron 4mg 19%, Potassium 215mg 5%","Prep Time: 25 mins, Cook Time: 35 mins, Additional Time: 15 mins, Total Time: 1 hrs 15 mins, Servings: 4, Yield: 4 hand pies",https://www.allrecipes.com/thmb/euXNMeXiywj4v6L_dLhpSqwsN0g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234374-apple-hand-pies-mfs-1-8458cf2b0e764a7ab31c2d6aa0e3e841.jpg
Old Fashioned Apple Pie,20 mins,50 mins,1 hrs 10 mins,8,1 9-inch pie,"2 (9 inch) unbaked pie crusts, 7 cups peeled, cored and sliced apples, 1 cup white sugar, 2 tablespoons all-purpose flour, 1 teaspoon ground cinnamon, ¼ teaspoon salt, ⅛ teaspoon ground nutmeg, 2 tablespoons butter","Preheat the oven to 425 degrees F (220 degrees C). Line a 9-inch pie plate with bottom crust.
Combine apples, sugar, flour, cinnamon, salt, and nutmeg in a bowl. Place mixture into the prepared pie plate. Dot with butter. Cover with top crust and seal. Cut holes in top crust to allow venting.
Bake in the preheated oven for 10 minutes.
Reduce the oven temperature to 300 degrees F (150 degrees C) and bake until crust is golden brown and apples are tender, 40 for 50 minutes. Cool and serve.",4.6,https://www.allrecipes.com/recipe/12583/old-fashioned-apple-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 17g 22%, Saturated Fat 4g 20%, Cholesterol 8mg 3%, Sodium 374mg 16%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 11%, Total Sugars 35g, Protein 2g, Vitamin C 4mg 22%, Calcium 19mg 1%, Iron 0mg 2%, Potassium 155mg 3%","Prep Time: 20 mins, Cook Time: 50 mins, Total Time: 1 hrs 10 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/Th9xPmXzfdloYKj2AXqKs4BomwY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/965259-ad5b763b2f6f4991a13cad61f4e24def.jpg
Fried Apple Pies,15 mins,15 mins,1 hrs,8,,"2 cups all-purpose flour, 1 teaspoon salt, ½ cup shortening, chilled, ½ cup cold water","Make pastry: Sift flour and salt together in a large bowl. Cut in shortening with 2 knives or a pastry blender until mixture resembles coarse crumbs. Add cold water, 1 tablespoon at a time, tossing with a fork, until flour mixture is moistened. Do not add more water than you need: when you squeeze a handful of moistened pastry mixture, it should form a ball. Wrap in plastic wrap and refrigerate for 30 minutes.
Make filling: Place apples in a saucepan. Combine sugar and cinnamon; pour over apples and toss to coat. Cook, covered, in a saucepan on low heat until soft; mash with a fork to make thick applesauce. Set aside to cool.
Roll dough on a lightly floured surface to 1/8-inch thick; cut out eight 4-inch rounds with a large cookie cutter.
Place 1 heaping tablespoon of applesauce in the center of each pastry round. Moisten edges with cold water, fold in half, and press the edge with a fork to seal. Repeat with remaining pastry and filling.
Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C).
Lower pies carefully into the hot oil in batches. Fry until golden brown, about 2 to 3 minutes on each side. Transfer to a paper towel-lined plate to drain. Repeat with remaining pies.",4.5,https://www.allrecipes.com/recipe/12680/fried-apple-pies/,/Desserts/Pies/Vintage Pie Recipes/,"Total Fat 68g 87%, Saturated Fat 10g 52%, Sodium 292mg 13%, Total Carbohydrate 35g 13%, Dietary Fiber 2g 6%, Total Sugars 10g, Protein 3g, Vitamin C 2mg 8%, Calcium 8mg 1%, Iron 2mg 8%, Potassium 71mg 2%","Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 30 mins, Total Time: 1 hrs, Servings: 8",https://www.allrecipes.com/thmb/wmt9U7d_QzVlRp8XyqDg49YM7ek=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7761858-fried-apple-pies-John-Bensley-4x3-1-324e7b7b616149458a045ca1f6e5ddb5.jpg
Grandma's Iron Skillet Apple Pie,15 mins,45 mins,1 hrs 15 mins,8,1 9-inch pie,"½ cup butter, 1 cup brown sugar, 5 Granny Smith apples -- peeled, cored, quartered, and thinly sliced, 3 (9 inch) refrigerated prerolled pie crusts, 1 cup white sugar, divided, 2 teaspoons ground cinnamon, divided, ¼ cup white sugar, 1 tablespoon butter, cut into small chunks","Preheat the oven to 350 degrees F (175 degrees C).
Place 1/2 cup butter into a 9-inch cast iron skillet; place the skillet in the preheated oven until butter is melted. Remove the skillet and sprinkle with brown sugar; return to the oven to heat while you prepare the apples.
Remove the skillet from the oven; arrange 1 refrigerated pie crust on top of brown sugar. Top pie crust with 1/2 of the sliced apples. Sprinkle 1/2 cup of white sugar and 1 teaspoon of cinnamon on top. Place second pie crust over apples; top second crust with remaining apples and sprinkle with 1/2 cup sugar and 1 teaspoon cinnamon. Top with third crust; sprinkle with 1/4 cup sugar and dot with 1 tablespoon of butter. Cut 4 slits into the top crust for steam to escape.
Bake in the preheated oven until the apples are tender and the crust is golden brown, about 45 minutes. Serve warm.









",4.9,https://www.allrecipes.com/recipe/213569/grandmas-iron-skillet-apple-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 34g 43%, Saturated Fat 17g 86%, Cholesterol 49mg 16%, Sodium 396mg 17%, Total Carbohydrate 108g 39%, Dietary Fiber 2g 7%, Total Sugars 70g, Protein 3g, Vitamin C 4mg 22%, Calcium 37mg 3%, Iron 0mg 2%, Potassium 138mg 3%","Prep Time: 15 mins, Cook Time: 45 mins, Additional Time: 15 mins, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/vOa8FKl2mfm4RQgHLV-G3ovp7z0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573341-542f23f8e42646af8b391b3babc73f3c.jpg
Old Time Mincemeat Pie,45 mins,40 mins,7 days 1 hrs 25 mins,8,1 9-inch pie,"1 ¼ pounds round steak, cut into small pieces, 1 cup apple cider, 4 Granny Smith apples - peeled, cored and finely diced, 1 ⅓ cups white sugar, 2 ½ cups dried currants, 2 ½ cups raisins, ½ pound chopped candied mixed fruit peel, ½ cup butter, 1 (16 ounce) jar sour cherry preserves, 1 teaspoon ground ginger, ½ teaspoon ground cloves, ½ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, ½ teaspoon salt, 1 (16 ounce) can pitted sour cherries, drained with liquid reserved, 1 recipe pastry for a 9 inch double crust pie, 2 tablespoons heavy cream","In a Dutch oven, combine beef and apple cider. Bring to a boil, then reduce heat to a simmer. Cover and cook for about 20 minutes, or until meat is tender. Remove meat and coarsely chop, then return it to the pot.
Stir in chopped apples, sugar, currants, raisins, citrus peel, butter and cherry preserves. Add ginger, cloves, nutmeg, cinnamon and salt. Let simmer, uncovered, over low heat until mixture is very thick, about 90 minutes. Stir in cherries and remove from heat.
Refrigerate tightly covered for at least a week before using.
Preheat oven to 350 degrees F (175 degrees C). Put filling in unbaked pie shell and place pastry on top. Crimp edges and poke several holes in top pastry. Brush top with cream and sprinkle with sugar.
Bake in preheated oven for 40 minutes, or until golden brown.",4.9,https://www.allrecipes.com/recipe/22621/old-time-mincemeat-pie/,/Desserts/Pies/Fruit Pies/Mincemeat Pie Recipes/,"Total Fat 38g 48%, Saturated Fat 16g 78%, Cholesterol 80mg 27%, Sodium 521mg 23%, Total Carbohydrate 181g 66%, Dietary Fiber 9g 32%, Total Sugars 82g, Protein 21g, Vitamin C 33mg 164%, Calcium 78mg 6%, Iron 6mg 31%, Potassium 970mg 21%","Prep Time: 45 mins, Cook Time: 40 mins, Additional Time: 7 days, Total Time: 7 days 1 hrs 25 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/WC5I8urzl1AkqPsGenIe_unOSN8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7524631-44359c76070741c2acf6cb757ab6fd2f.jpg
The Best Cherry Pie,15 mins,48 mins,1 hrs 23 mins,8,1 pie,"1 (15 ounce) package double crust ready-to-use pie crust, 3 cups cherries, pitted, ¾ cup white sugar, 3 tablespoons cornstarch, ¼ teaspoon almond extract, 2 tablespoons salted butter, cut into bits","Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil. Place bottom pie crust into a 9-inch pie pan; made pricks along the bottom with a fork.
Bake in the preheated oven until pie crust is lightly browned, about 8 minutes. Remove crust from oven and cool for 5 minutes.
Combine cherries, sugar, cornstarch, and almond extract together in a bowl. Pour cherry mixture into the prepared pie pan; dot with butter. Cover with top crusts, crimp the edges to seal, and cut vents into the top with a sharp knife. Place the pie on a foil-covered baking sheet.
Bake in the preheated oven for 30 minutes. If it is browning too fast cover the pie with an aluminum foil tent. Continue baking until crust is golden brown and filling is bubbly, 10 to 20 minutes. Place on a wire rack to cool, about 15 minutes.",4.9,https://www.allrecipes.com/recipe/254501/the-best-cherry-pie/,/Desserts/Pies/Fruit Pies/Cherry Pie Recipes/,"Total Fat 20g 25%, Saturated Fat 6g 30%, Cholesterol 8mg 3%, Sodium 274mg 12%, Total Carbohydrate 53g 19%, Dietary Fiber 3g 11%, Total Sugars 27g, Protein 4g, Vitamin C 4mg 19%, Calcium 14mg 1%, Iron 2mg 9%, Potassium 154mg 3%","Prep Time: 15 mins, Cook Time: 48 mins, Additional Time: 20 mins, Total Time: 1 hrs 23 mins, Servings: 8, Yield: 1 pie",https://www.allrecipes.com/thmb/QGG2WFcHQjXATggLinaK3KBkVc0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3790961-4d940806f2d54964b96acac6722b7d51.jpg
Baked Fresh Cherry Pie,30 mins,50 mins,3 hrs 20 mins,8,1 9-inch pie,"1 recipe pastry for a 9 inch double crust pie, 4 tablespoons quick-cooking tapioca, ⅛ teaspoon salt, 1 cup white sugar, 4 cups pitted cherries, ¼ teaspoon almond extract, ½ teaspoon vanilla extract, 1 ½ tablespoons butter","Preheat oven to 400 degrees F (205 degrees C). Place bottom crust in pie pan. Set top crust aside, covered.
In a large mixing bowl combine tapioca, salt, sugar, cherries, and extracts. Let stand 15 minutes. Turn out into bottom crust and dot with butter. Cover with top crust, flute edges and cut vents in top. Place pie on a foil-lined cookie sheet--in case of drips!
Bake for 50 minutes in the preheated oven, until golden brown. Let cool for several hours before slicing.",4.6,https://www.allrecipes.com/recipe/12245/baked-fresh-cherry-pie/,/Desserts/Pies/Fruit Pies/Cherry Pie Recipes/,"Total Fat 18g 23%, Saturated Fat 5g 26%, Cholesterol 6mg 2%, Sodium 286mg 12%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 12%, Total Sugars 35g, Protein 4g, Vitamin C 5mg 26%, Calcium 17mg 1%, Iron 2mg 9%, Potassium 193mg 4%","Prep Time: 30 mins, Cook Time: 50 mins, Additional Time: 2 hrs, Total Time: 3 hrs 20 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/MwnEyZuUJIw-ab3UqQjGB4pNsw4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4537555-3774cdb4ef8547d19f582d18668b7092.jpg
